"OrderID","OrderDate","CustomerName","Country","ProductID","ProductName","Category","UnitPrice","Quantity","SalesRep","PaymentMethod","DiscountCode","OrderSource"
"10017","2024-01-06","lilian mensah","rwanda","P006","Running Shoes","Clothes","116.45","1","Alice M.","unknown","null","web"
"10018","2025-07-27","peter mugabe","South Sudan","P008","Jeans","Footwear","112.30","2","Bob","mpesa","SUMMER","web"
"10019","2025-10-10","noah okoth","Uganda","P013","Blazer","Apparel","18.78","2","Unknown","unknown","null","none"
"10020","2024-10-11","chloe mutiso","Tanzania","P016","Backpack","Accessories","76.33","1","Unknown","Debit","DISC-20","mobile"
"10022","2024-06-29","lilian z mensah","Tanzania","P012","Skirt","Footwear","38.53","1","Alice M.","Mpesa","null","mobile"
"10024","2025-01-28","peter ibrahim","Burundi","P015","Socks","Apparel","83.19","1","Unknown","mpesa","NEW10","store"
"10025","2025-01-12","lydia njoroge","Uganda","P005","T-shirt","Clothes","110.09","1","TEAM_A","unknown","null","web"
"10026","2025-08-17","grace mensah","Tanzania","P015","Socks","Apparel","831.90","1","charles","mpesa","null","web"
"10027","2024-02-27","e. kamau","Uganda","P024","Sandals","Apparel","48.32","1","charles","mpesa","DISC-20","store"
"10028","2025-06-26","esther karanja","Rwanda","P030","Ankle Socks","Footwear ","83.25","1","Bob","Mpesa","null","store"
"10029","2025-04-24","g. mutiso","Rwanda","P025","Windbreaker","Apparel","90.77","1","Bob","Credit Card","NEW10","Web"
"10030","2025-08-06","peter kim","Kenya","P021","Sunglass Case","Footwear","50.53","1","charles","unknown","NEW10","affiliate"
"10031","2024-02-08","noah  mwangi","Kenya","P006","Running Shoes","Clothes","116.45","2","Unknown","unknown","null","none"
"10032","2024-03-30","c. mensah","South Sudan","P019","Earrings","Accessories","43.66","1","charles","Debit","null","affiliate"
"10033","2025-09-26","lydia b mugabe","South Sudan","P021","Sunglass Case","Footwear","50.53","1","TEAM_A","Credit Card","DISC-20","none"
"10034","2024-12-23","chloe said","Kenya","P030","Ankle Socks","Footwear ","83.25","3","Bob","Mpesa","SUMMER","Web"
"10036","2025-03-14","peter doe","South Sudan","P013","Blazer","Apparel","18.78","1","TEAM_A","bank transfer","null","store"
"10037","2025-08-15","paul wanjiru","Burundi","P013","Blazer","Apparel","18.78","1","Unknown","unknown","SUMMER","web"
"10038","2024-12-09","john b mutiso","Kenya","P024","Sandals","Apparel","48.32","1","TEAM_A","Debit","DISC-20","store"
"10039","2025-09-30","owen otieno","Kenya","P019","Earrings","Accessories","43.66","1","Bob","unknown","null","none"
"10041","2025-02-05","mary mensah","Rwanda","P021","Sunglass Case","Footwear","50.53","1","Unknown","bank transfer","null","affiliate"
"10042","2025-01-22","owen kamau","rwanda","P010","Cap","Accessories","28.77","1","Alice M.","Debit","SUMMER","mobile"
"10043","2025-03-05","brian  kim","Uganda","P029","Active Shorts","Apparel","27.63","1","Unknown","Mpesa","SUMMER","Web"
"10044","2025-01-08","p. doe","Tanzania","P009","Scarf","Apparel","20.66","1","TEAM_A","Debit","null","affiliate"
"10045","2024-08-20","sophia mensah","Rwanda","P028","Leggings","Footwear","28.75","2","Alice M.","unknown","SUMMER","affiliate"
"10047","2025-05-20","moses doe","Kenya","P008","Jeans","Footwear","112.30","1","Unknown","unknown","SUMMER","mobile"
"10048","2024-04-07",\N,"Kenya","P023","Loafers","Apparel","116.66","1","charles","Mpesa","SUMMER","store"
"10049","2025-01-12","owen karanja","Kenya","P003","Hoodie","Footwear ","37.22","1","TEAM_A","mpesa","NEW10","store"
"10051","2025-02-15","g. mensah","Tanzania","P020","Necklace","Apparel","12.82","1","Unknown","mpesa","null","none"
"10052","2025-04-16","grace said","Tanzania","P029","Active Shorts","Apparel","27.63","1","Unknown","unknown","null","store"
"10053","2025-06-15","grace wanjiru","Rwanda","P016","Backpack","Accessories","76.33","1","Bob","Cash","null","affiliate"
"10055","2024-09-10",\N,"Tanzania","P019","Earrings","Accessories","43.66","1","charles","unknown","DISC-20","Web"
"10056","2025-07-14","fatima c mugabe","Tanzania","P002","Sneakers","Apparel","86.72","4","TEAM_A","bank transfer","SUMMER","mobile"
"10057","2025-06-23","noah c kamau","Rwanda","P022","Boots","Footwear","10.34","1","Unknown","Mpesa","null","none"
"10058","2025-08-30","david  z  mwase","Kenya","P028","Leggings","Footwear","28.75","1","TEAM_A","mpesa","null","affiliate"
"10059","2025-10-14","mark  njoroge","Kenya","P007","Belt","Apparel","22.02","1","Alice M.","Cash","SUMMER","mobile"
"10060","2024-06-20","alice kim","Kenya","P023","Loafers","Apparel","11.67","1","Unknown","mpesa","null","Web"
"10061","2024-01-07","amina kim","Tanzania","P030","Ankle Socks","Footwear ","83.25","4","Unknown","unknown","DISC-20","Web"
"10062","2025-10-17","l. mutiso","Kenya","P001","Denim Jacket","Accessories","139.90","1","Unknown","Cash","NEW10","web"
"10063","2025-09-19","lydia mwangi","Kenya","P028","Leggings","Footwear","28.75","1","Alice M.","unknown","null","Web"
"10064","2025-04-27","lydia said","Uganda","P016","Backpack","Accessories","76.33","1","Alice M.","Mpesa","NEW10","store"
"10065","2025-07-30","peter b kim","Kenya","P009","Scarf","Apparel","20.66","1","charles","mpesa","null","affiliate"
"10066","2024-06-11","brian njoroge","Rwanda","P004","Sunglasses","Apparel","80.88","1","Alice M.","unknown","null","affiliate"
"10067","2024-07-15","esther mensah","Uganda","P007","Belt","Apparel","22.02","1","Bob","mpesa","DISC-20","affiliate"
"10068","2024-10-23","lydia b karanja","Uganda","P011","Dress","Apparel","59.57","2","Unknown","Credit Card","null","affiliate"
"10069","2024-03-01","linda wanjiru","Tanzania","P022","Boots","Footwear","10.34","1","TEAM_A","Credit Card","SUMMER","web"
"10070","2025-05-04","sophia otieno","South Sudan","P015","Socks","Apparel","41.59","1","TEAM_A","Credit Card","null","store"
"10071","2024-07-17","a. okoth","Burundi","P015","Socks","Apparel","83.19","1","Unknown","Credit Card","null","none"
"10072","2025-09-12","alice mutiso","Uganda","P005","T-shirt","Clothes","110.09","1","charles","Debit","SUMMER","none"
"10073","2024-10-13","mark karanja","Tanzania","P015","Socks","Apparel","83.19","1","TEAM_A","unknown","DISC-20","none"
"10074","2025-05-22",\N,"Kenya","P003","Hoodie","Footwear ","37.22","1","Unknown","unknown","SUMMER","none"
"10075","2025-07-20","brian mensah","Rwanda","P019","Earrings","Accessories","43.66","1","charles","unknown","DISC-20","mobile"
"10076","2024-01-10","robert karanja","Kenya","P014","Shorts","Footwear","62.57","2","Alice M.","Debit","SUMMER","Web"
"10077","2024-03-26","tom okoth","Uganda","P017","Watch","Accessories","76.48","1","TEAM_A","Credit Card","null","mobile"
"10078","2025-03-12","brian z doe","Kenya","P024","Sandals","Apparel","48.32","1","Bob","Credit Card","SUMMER","mobile"
"10079","2025-08-19","peter mugabe","Uganda","P006","Running Shoes","Clothes","116.45","1","Unknown","Mpesa","null","none"
"10080","2025-01-05","e. njoroge","Kenya","P008","Jeans","Footwear","112.30","1","Bob","unknown","null","mobile"
"10081","2024-12-15","lydia okoth","Uganda","P010","Cap","Accessories","28.77","2","charles","Debit","null","affiliate"
"10082","2024-12-29","peter wanjiru","Kenya","P028","Leggings","Footwear","28.75","1","Unknown","mpesa","null","store"
"10083","2025-08-30","jane kim","South Sudan","P010","Cap","Accessories","28.77","1","Bob","Mpesa","SUMMER","Web"
"10084","2024-05-24","mary mwase","South Sudan","P011","Dress","Apparel","59.57","1","Unknown","unknown","null","Web"
"10085","2025-05-20","mary njoroge","Kenya","P018","Bracelet","Footwear","113.51","1","Alice M.","unknown","SUMMER","store"
"10086","2025-10-07","d. kamau","South Sudan","P019","Earrings","Accessories","43.66","1","Alice M.","bank transfer","null","mobile"
"10087","2024-01-30","sam njoroge","rwanda","P027","Sports Tee","Clothes","28.49","1","Bob","Credit Card","SUMMER","store"
"10088","2024-09-20","fatima mwase","Kenya","P002","Sneakers","Apparel","86.72","2","Unknown","Cash","SUMMER","store"
"10089","2024-01-14","fatima  mwangi","Rwanda","P007","Belt","Apparel","11.01","1","charles","bank transfer","NEW10","none"
"10090","2025-08-25","owen d mutiso","Kenya","P020","Necklace","Apparel","12.82","1","charles","bank transfer","SUMMER","store"
"10091","2025-07-13","jane ibrahim","South Sudan","P002","Sneakers","Apparel","86.72","1","Unknown","mpesa","NEW10","none"
"10093","2024-10-30",\N,"Burundi","P018","Bracelet","Footwear","113.51","1","Unknown","unknown","null","store"
"10094","2024-07-02","f. okoth","Rwanda","P001","Denim Jacket","Accessories","139.90","1","Unknown","mpesa","null","Web"
"10095","2025-09-17","esther doe","Kenya","P018","Bracelet","Footwear","113.51","1","Unknown","Debit","DISC-20","none"
"10096","2024-01-01","john d doe","Kenya","P009","Scarf","Apparel","20.66","1","charles","bank transfer","null","affiliate"
"10097","2025-04-22","alice mwase","Rwanda","P028","Leggings","Footwear","28.75","2","Alice M.","Cash","null","Web"
"10099","2024-06-30","l. ibrahim","South Sudan","P008","Jeans","Footwear","112.30","1","TEAM_A","Credit Card","SUMMER","none"
"10100","2024-03-03","paul wanjiru","Uganda","P023","Loafers","Apparel","116.66","1","Alice M.","Mpesa","NEW10","Web"
"10101","2024-07-14","paul mwangi","Kenya","P019","Earrings","Accessories","43.66","1","Bob","Debit","DISC-20","store"
"10102","2025-08-22","o. kamau","rwanda","P030","Ankle Socks","Footwear ","83.25","1","Bob","bank transfer","DISC-20","store"
"10103","2024-04-12","sam b said","rwanda","P030","Ankle Socks","Footwear ","83.25","1","charles","Cash","SUMMER","affiliate"
"10104","2024-11-01","lydia said","Rwanda","P020","Necklace","Apparel","12.82","1","TEAM_A","unknown","null","web"
"10105","2024-08-29","paul okoth","South Sudan","P010","Cap","Accessories","28.77","1","TEAM_A","Cash","null","affiliate"
"10106","2025-04-09","linda mwangi","Kenya","P002","Sneakers","Apparel","86.72","1","Unknown","bank transfer","null","affiliate"
"10107","2025-05-07","robert wanjiru","Uganda","P012","Skirt","Footwear","38.53","1","TEAM_A","bank transfer","null","mobile"
"10108","2025-03-08","fatima c mwangi","South Sudan","P008","Jeans","Footwear","112.30","1","Bob","Mpesa","NEW10","store"
"10109","2025-04-10","linda kim","Kenya","P008","Jeans","Footwear","112.30","1","Unknown","Debit","NEW10","Web"
"10111","2024-07-07","linda mwangi","Kenya","P006","Running Shoes","Clothes","116.45","1","Unknown","Cash","DISC-20","none"
"10113","2024-03-21","robert kamau","South Sudan","P014","Shorts","Footwear","62.57","1","Unknown","mpesa","null","Web"
"10114","2025-09-13","mark kim","Kenya","P008","Jeans","Footwear","112.30","1","Bob","Cash","null","store"
"10115","2025-04-05","peter mutiso","Rwanda","P013","Blazer","Apparel","18.78","1","Unknown","unknown","null","mobile"
"10116","2026-02-02","moses  karanja","rwanda","P029","Active Shorts","Apparel","27.63","1","Alice M.","Cash","null","affiliate"
"10117","2024-05-03","esther z mwangi","Burundi","P026","Beanie","Clothes","13.49","1","charles","Mpesa","null","mobile"
"10118","2024-03-16","mary b ibrahim","rwanda","P016","Backpack","Accessories","76.33","1","Unknown","Credit Card","NEW10","mobile"
"10119","2025-03-26","fatima mwase","rwanda","P009","Scarf","Apparel","10.33","1","Unknown","Credit Card","SUMMER","Web"
"10121","2026-04-02","grace b mugabe","Kenya","P016","Backpack","Accessories","76.33","3","TEAM_A","Mpesa","NEW10","store"
"10122","2025-03-29","m. njoroge","Kenya","P030","Ankle Socks","Footwear ","83.25","1","Unknown","Debit","DISC-20","Web"
"10123","2024-12-22","john said","Tanzania","P020","Necklace","Apparel","12.82","1","Alice M.","Cash","SUMMER","store"
"10124","2025-06-10","grace mensah","Tanzania","P027","Sports Tee","Clothes","28.49","1","Bob","unknown","DISC-20","Web"
"10126","2025-04-05","linda kamau","Uganda","P026","Beanie","Clothes","13.49","1","Bob","Mpesa","null","mobile"
"10127","2025-06-27","tom kamau","Tanzania","P005","T-shirt","Clothes","110.09","3","Alice M.","unknown","null","mobile"
"10129","2025-03-18","lydia c kamau","Uganda","P025","Windbreaker","Apparel","90.77","1","Unknown","unknown","null","store"
"10130","2024-01-27","grace mwase","rwanda","P021","Sunglass Case","Footwear","50.53","1","Alice M.","unknown","null","mobile"
"10131","2024-08-01","robert c mutiso","Rwanda","P013","Blazer","Apparel","18.78","1","Unknown","mpesa","NEW10","web"
"10132","2024-11-03",\N,"Burundi","P001","Denim Jacket","Accessories","139.90","1","Bob","bank transfer","NEW10","store"
"10134","2025-03-27","paul said","Uganda","P028","Leggings","Footwear","28.75","1","Bob","Debit","null","mobile"
"10135","2024-11-04","peter karanja","Kenya","P018","Bracelet","Footwear","113.51","1","TEAM_A","bank transfer","DISC-20","web"
"10136","2025-11-04",\N,"Kenya","P029","Active Shorts","Apparel","27.63","2","Bob","unknown","null","store"
"10137","2024-04-23","john kamau","Tanzania","P023","Loafers","Apparel","116.66","1","Unknown","Cash","NEW10","none"
"10138","2025-08-06","alice kim","Uganda","P026","Beanie","Clothes","13.49","2","Unknown","Mpesa","SUMMER","affiliate"
"10139","2024-06-13","alice mwase","Kenya","P027","Sports Tee","Clothes","28.49","1","Unknown","mpesa","NEW10","store"
"10140","2024-11-01","lilian ibrahim","Kenya","P010","Cap","Accessories","28.77","1","Bob","Mpesa","DISC-20","store"
"10141","2024-09-04","p. mensah","South Sudan","P017","Watch","Accessories","76.48","2","charles","Debit","null","none"
"10142","2024-04-10","paul njoroge","Rwanda","P028","Leggings","Footwear","28.75","1","Unknown","unknown","SUMMER","Web"
"10143","2023-08-03","david d kim","Tanzania","P006","Running Shoes","Clothes","116.45","1","Bob","unknown","null","Web"
"10144","2025-02-11","b. okoth","Kenya","P026","Beanie","Clothes","13.49","1","Unknown","Mpesa","SUMMER","mobile"
"10145","2025-03-26","robert karanja","Uganda","P002","Sneakers","Apparel","86.72","1","Unknown","bank transfer","DISC-20","store"
"10146","2024-08-21","lilian c kamau","Uganda","P015","Socks","Apparel","83.19","1","Unknown","unknown","null","affiliate"
"10147","2025-06-04","robert wanjiru","Uganda","P021","Sunglass Case","Footwear","50.53","1","Unknown","Mpesa","null","store"
"10148","2024-12-05","m. mwangi","Uganda","P025","Windbreaker","Apparel","90.77","2","TEAM_A","bank transfer","SUMMER","store"
"10149","2025-09-12","mark wanjiru","Tanzania","P024","Sandals","Apparel","483.20","1","charles","Debit","null","none"
"10150","2023-06-08","lilian mensah","Uganda","P012","Skirt","Footwear","38.53","1","Bob","Debit","null","Web"
"10151","2025-02-02","amina d otieno","Kenya","P005","T-shirt","Clothes","110.09","2","Unknown","unknown","DISC-20","affiliate"
"10152","2025-10-20","grace b mugabe","Kenya","P013","Blazer","Apparel","18.78","1","Unknown","unknown","null","store"
"10153","2026-08-24","chloe b mutiso","Kenya","P004","Sunglasses","Apparel","80.88","1","TEAM_A","mpesa","null","Web"
"10154","2025-09-19","c.  okoth","Kenya","P008","Jeans","Footwear","112.30","1","Alice M.","bank transfer","NEW10","Web"
"10155","2025-10-03","john  d  ibrahim","Uganda","P026","Beanie","Clothes","13.49","1","charles","Mpesa","NEW10","store"
"10156","2024-07-25","a. mwase","Rwanda","P029","Active Shorts","Apparel","27.63","1","TEAM_A","unknown","null","store"
"10158","2024-04-10","amina mutiso","Tanzania","P023","Loafers","Apparel","116.66","1","Bob","unknown","SUMMER","affiliate"
"10159","2025-02-22","noah  c  doe","Uganda","P010","Cap","Accessories","28.77","2","Unknown","Cash","NEW10","Web"
"10160","2025-07-30","fatima mwangi","Kenya","P013","Blazer","Apparel","18.78","1","Unknown","Credit Card","DISC-20","web"
"10161","2024-01-07",\N,"Kenya","P012","Skirt","Footwear","38.53","2","Unknown","bank transfer","NEW10","store"
"10162","2024-05-18","a. mwangi","Kenya","P005","T-shirt","Clothes","110.09","2","TEAM_A","unknown","SUMMER","affiliate"
"10163","2025-04-04","l. kamau","Uganda","P030","Ankle Socks","Footwear ","832.50","2","Unknown","Debit","null","mobile"
"10164","2024-12-20","p. mutiso","Tanzania","P018","Bracelet","Footwear","113.51","2","Unknown","mpesa","null","mobile"
"10165","2024-03-13","mary karanja","Tanzania","P001","Denim Jacket","Accessories","139.90","1","charles","Cash","DISC-20","store"
"10166","2024-07-12","l. doe","Kenya","P012","Skirt","Footwear","38.53","1","Unknown","Debit","NEW10","store"
"10167","2024-10-15","noah mwase","Kenya","P023","Loafers","Apparel","116.66","1","Unknown","Mpesa","SUMMER","store"
"10168","2025-05-15","sophia mwase","Kenya","P015","Socks","Apparel","83.19","1","charles","unknown","null","mobile"
"10169","2024-06-25","a.  okoth","Kenya","P007","Belt","Apparel","22.02","2","charles","bank transfer","NEW10","Web"
"10170","2024-04-18","mary ibrahim","South Sudan","P019","Earrings","Accessories","43.66","1","Bob","Debit","DISC-20","store"
"10171","2025-04-02","paul mensah","Kenya","P021","Sunglass Case","Footwear","50.53","1","Unknown","unknown","null","none"
"10172","2025-07-30","c. mutiso","Rwanda","P007","Belt","Apparel","22.02","1","Unknown","unknown","null","none"
"10173","2024-05-29","mark z said","rwanda","P021","Sunglass Case","Footwear","50.53","1","Bob","Credit Card","DISC-20","mobile"
"10174","2025-03-07","p. mensah","Rwanda","P010","Cap","Accessories","28.77","1","Bob","Cash","DISC-20","store"
"10175","2025-07-17","sam b wanjiru","Rwanda","P026","Beanie","Clothes","13.49","1","Unknown","Credit Card","DISC-20","affiliate"
"10178","2025-02-06","amina c doe","rwanda","P029","Active Shorts","Apparel","27.63","1","TEAM_A","Cash","NEW10","none"
"10179","2024-10-31","m. kim","rwanda","P017","Watch","Accessories","76.48","2","charles","mpesa","null","web"
"10180","2025-01-21","d. kamau","Tanzania","P030","Ankle Socks","Footwear ","83.25","1","TEAM_A","Debit","DISC-20","store"
"10181","2025-04-20",\N,"Tanzania","P019","Earrings","Accessories","43.66","1","TEAM_A","mpesa","SUMMER","affiliate"
"10182","2025-02-21","grace otieno","Rwanda","P017","Watch","Accessories","76.48","1","Unknown","unknown","null","none"
"10183","2025-05-28","moses okoth","Uganda","P026","Beanie","Clothes","13.49","1","Alice M.","Cash","DISC-20","web"
"10185","2025-05-26","fatima mwangi","Uganda","P006","Running Shoes","Clothes","116.45","1","charles","unknown","NEW10","store"
"10186","2025-06-02","owen njoroge","South Sudan","P018","Bracelet","Footwear","113.51","1","charles","mpesa","null","Web"
"10187","2025-08-19","amina okoth","Kenya","P015","Socks","Apparel","831.90","2","charles","Mpesa","null","store"
"10188","2025-04-30","l. kamau","rwanda","P028","Leggings","Footwear","28.75","1","Alice M.","Mpesa","null","mobile"
"10189","2025-07-27","john otieno","South Sudan","P009","Scarf","Apparel","41.32","1","Bob","mpesa","SUMMER","mobile"
"10190","2024-05-29","j. karanja","South Sudan","P028","Leggings","Footwear","28.75","1","Unknown","Cash","DISC-20","mobile"
"10191","2024-03-27","d. okoth","Uganda","P018","Bracelet","Footwear","113.51","2","Bob","unknown","null","store"
"10192","2024-10-04","noah mensah","Kenya","P021","Sunglass Case","Footwear","50.53","1","Bob","Debit","null","store"
"10193","2026-04-18","moses mensah","Uganda","P016","Backpack","Accessories","76.33","1","charles","unknown","DISC-20","Web"
"10194","2024-07-12","brian c mugabe","Uganda","P018","Bracelet","Footwear","113.51","4","charles","bank transfer","null","Web"
"10195","2025-07-02","sam ibrahim","Kenya","P028","Leggings","Footwear","28.75","1","Bob","bank transfer","NEW10","mobile"
"10197","2024-07-29","chloe mutiso","South Sudan","P022","Boots","Footwear","10.34","2","Unknown","bank transfer","NEW10","none"
"10198","2025-07-30","e. wanjiru","Rwanda","P002","Sneakers","Apparel","86.72","1","charles","Debit","SUMMER","mobile"
"10199","2025-01-08","amina kim","Uganda","P012","Skirt","Footwear","38.53","1","Bob","unknown","null","mobile"
"10200","2024-07-02","john d doe","Kenya","P001","Denim Jacket","Accessories","139.90","2","Alice M.","mpesa","null","store"
"10201","2025-09-12","peter  mugabe","rwanda","P001","Denim Jacket","Accessories","139.90","1","charles","unknown","null","store"
"10202","2024-11-01","s. doe","Kenya","P025","Windbreaker","Apparel","90.77","1","charles","mpesa","DISC-20","none"
"10203","2025-03-01","amina mutiso","Tanzania","P007","Belt","Apparel","22.02","1","Bob","unknown","null","store"
"10204","2024-03-02","fatima mwase","Rwanda","P024","Sandals","Apparel","48.32","2","Unknown","unknown","SUMMER","Web"
"10205","2024-03-09","peter mensah","South Sudan","P029","Active Shorts","Apparel","27.63","1","charles","Cash","null","web"
"10207","2024-09-08","l. doe","Rwanda","P018","Bracelet","Footwear","113.51","1","Bob","Mpesa","NEW10","store"
"10209","2024-06-17","david ibrahim","South Sudan","P025","Windbreaker","Apparel","90.77","1","TEAM_A","mpesa","null","web"
"10210","2024-12-04","s. okoth","rwanda","P003","Hoodie","Footwear ","37.22","1","Bob","Debit","null","none"
"10211","2025-02-14","fatima ibrahim","Rwanda","P020","Necklace","Apparel","1.28","1","Alice M.","Mpesa","null","mobile"
"10212","2024-07-19","alice wanjiru","Rwanda","P003","Hoodie","Footwear ","37.22","1","Alice M.","unknown","null","affiliate"
"10214","2025-06-01","robert mutiso","rwanda","P013","Blazer","Apparel","18.78","1","charles","Credit Card","SUMMER","Web"
"10215","2025-04-05","esther okoth","Kenya","P005","T-shirt","Clothes","110.09","1","Unknown","Credit Card","null","store"
"10216","2024-03-22","lilian karanja","Tanzania","P002","Sneakers","Apparel","86.72","1","charles","Cash","DISC-20","mobile"
"10217","2024-10-03","john mensah","Kenya","P008","Jeans","Footwear","112.30","1","Bob","Mpesa","SUMMER","mobile"
"10218","2024-05-29","p. mwangi","Tanzania","P013","Blazer","Apparel","18.78","1","Unknown","bank transfer","NEW10","mobile"
"10219","2024-11-25","mary b kim","Kenya","P029","Active Shorts","Apparel","27.63","1","charles","Credit Card","SUMMER","none"
"10220","2024-05-02","fatima karanja","Kenya","P028","Leggings","Footwear","28.75","1","charles","mpesa","SUMMER","Web"
"10221","2024-05-20","noah d okoth","rwanda","P022","Boots","Footwear","10.34","1","Unknown","Mpesa","DISC-20","store"
"10222","2024-02-23","chloe doe","Tanzania","P001","Denim Jacket","Accessories","139.90","1","Unknown","Cash","null","Web"
"10223","2025-02-21","paul otieno","Kenya","P013","Blazer","Apparel","18.78","1","Bob","mpesa","null","store"
"10224","2024-09-16","chloe mwangi","Kenya","P008","Jeans","Footwear","112.30","1","TEAM_A","bank transfer","NEW10","mobile"
"10225","2024-05-06","owen  z  karanja","Uganda","P018","Bracelet","Footwear","113.51","1","charles","unknown","SUMMER","store"
"10226","2024-10-21","peter otieno","Uganda","P001","Denim Jacket","Accessories","139.90","1","TEAM_A","Debit","null","store"
"10227","2025-08-12","s. njoroge","Uganda","P007","Belt","Apparel","2.20","1","Bob","Cash","DISC-20","store"
"10229","2024-12-07","grace said","South Sudan","P002","Sneakers","Apparel","86.72","1","Unknown","Mpesa","null","affiliate"
"10230","2025-11-19","m. wanjiru","Tanzania","P008","Jeans","Footwear","112.30","1","TEAM_A","Debit","null","mobile"
"10231","2025-09-25","fatima mwangi","Kenya","P014","Shorts","Footwear","62.57","2","charles","bank transfer","null","mobile"
"10232","2024-06-19","a. wanjiru","Burundi","P022","Boots","Footwear","10.34","1","Alice M.","unknown","SUMMER","Web"
"10233","2024-05-09","mary doe","Kenya","P004","Sunglasses","Apparel","80.88","1","Unknown","Debit","SUMMER","Web"
"10234","2025-03-08","l. otieno","South Sudan","P018","Bracelet","Footwear","11.35","1","Unknown","unknown","NEW10","none"
"10235","2025-09-11","jane mugabe","Uganda","P021","Sunglass Case","Footwear","50.53","1","Unknown","mpesa","null","affiliate"
"10236","2025-01-23","noah d kim","Kenya","P002","Sneakers","Apparel","86.72","2","Bob","Debit","null","mobile"
"10238","2024-07-30","fatima z mensah","Rwanda","P025","Windbreaker","Apparel","90.77","1","TEAM_A","bank transfer","null","affiliate"
"10239","2025-06-25","brian wanjiru","Tanzania","P017","Watch","Accessories","76.48","1","Bob","Debit","null","mobile"
"10240","2025-04-26","robert c said","rwanda","P019","Earrings","Accessories","21.83","2","Alice M.","mpesa","SUMMER","Web"
"10241","2024-08-01","fatima karanja","Kenya","P021","Sunglass Case","Footwear","50.53","2","charles","unknown","DISC-20","none"
"10242","2024-04-07","fatima mutiso","Kenya","P027","Sports Tee","Clothes","28.49","2","TEAM_A","unknown","SUMMER","affiliate"
"10245","2025-04-11","c. ibrahim","Uganda","P007","Belt","Apparel","22.02","1","Alice M.","bank transfer","null","web"
"10246","2025-07-21","moses d okoth","Uganda","P013","Blazer","Apparel","18.78","2","Unknown","Cash","NEW10","affiliate"
"10247","2024-03-07","l. doe","rwanda","P002","Sneakers","Apparel","86.72","2","Unknown","bank transfer","null","store"
"10248","2024-09-11","p. mugabe","South Sudan","P010","Cap","Accessories","28.77","3","Unknown","unknown","NEW10","store"
"10249","2024-08-13","s. ibrahim","Kenya","P024","Sandals","Apparel","483.20","1","Unknown","unknown","null","affiliate"
"10250","2024-09-29","m. otieno","Burundi","P025","Windbreaker","Apparel","90.77","1","TEAM_A","mpesa","NEW10","none"
"10251","2025-06-05","sam mugabe","Kenya","P002","Sneakers","Apparel","86.72","1","charles","bank transfer","null","web"
"10252","2024-03-08","o. doe","Kenya","P018","Bracelet","Footwear","113.51","1","TEAM_A","Cash","null","store"
"10253","2024-02-29","mark d mutiso","rwanda","P027","Sports Tee","Clothes","28.49","1","charles","Credit Card","NEW10","store"
"10254","2024-09-26","david ibrahim","Tanzania","P030","Ankle Socks","Footwear ","83.25","1","charles","Mpesa","null","store"
"10255","2025-06-09",\N,"Uganda","P023","Loafers","Apparel","116.66","2","Unknown","mpesa","null","Web"
"10256","2024-04-14","lilian  z  mensah","Kenya","P010","Cap","Accessories","28.77","1","TEAM_A","Mpesa","null","none"
"10257","2025-09-13","alice mugabe","Uganda","P015","Socks","Apparel","83.19","2","charles","Credit Card","SUMMER","mobile"
